ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,,,,,,,,,,,,,space,79.0851009581,,,,,,,,,,,,,,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,space,25.9291507332,,,,,,,,,,,,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,space,9.09891775763,,,,,,,,,,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,,,space,5.98305619741,,,,,,,,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,,,,,right,6.51581827691,,,,,,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.65236545494,,,,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
25.0,35.0,150.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,left,0.0,4.18258758355,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
10.0,109.0,9.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,left,1.0,3.93309765588,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
10.0,19.0,89.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,left,0.0,3.56592229614,,,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,35.528649631,,,,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,125.0,149.0,,,,,0.0,0.0,0.0,88.0,,,,,,,,,,,,,,,,,,right,0.0,8.98244395666,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,35.0,5.0,,,,,0.0,1.0,1.0,60.0,,,,,,,,,,,,,,,,,,right,1.0,6.11618078966,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,150.0,30.0,,,,,0.0,2.0,2.0,14.0,,,,,,,,,,,,,,,,,,right,1.0,3.66706077661,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,15.0,61.0,,,,,0.0,3.0,3.0,45.0,,,,,,,,,,,,,,,,,,left,0.0,4.94967545057,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,39.0,150.0,,,,,0.0,4.0,4.0,26.0,,,,,,,,,,,,,,,,,,left,0.0,5.66633801349,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,110.0,90.0,,,,,0.0,5.0,5.0,23.0,,,,,,,,,,,,,,,,,,left,1.0,5.41627182858,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,75.0,5.0,,,,,0.0,6.0,6.0,62.0,,,,,,,,,,,,,,,,,,left,1.0,12.1482799938,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,150.0,29.0,,,,,0.0,7.0,7.0,74.0,,,,,,,,,,,,,,,,,,left,1.0,2.09922927571,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,104.0,10.0,,,,,0.0,8.0,8.0,38.0,,,,,,,,,,,,,,,,,,left,1.0,8.2150420011,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,55.0,30.0,,,,,0.0,9.0,9.0,71.0,,,,,,,,,,,,,,,,,,left,0.0,6.7328111208,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,61.0,89.0,,,,,0.0,10.0,10.0,22.0,,,,,,,,,,,,,,,,,,right,0.0,5.83464768901,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,111.0,30.0,,,,,0.0,11.0,11.0,13.0,,,,,,,,,,,,,,,,,,left,1.0,1.89988860441,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,151.0,11.0,,,,,0.0,12.0,12.0,9.0,,,,,,,,,,,,,,,,,,left,1.0,1.83304691873,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,61.0,150.0,,,,,0.0,13.0,13.0,27.0,,,,,,,,,,,,,,,,,,left,0.0,3.45015378017,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,35.0,60.0,,,,,0.0,14.0,14.0,75.0,,,,,,,,,,,,,,,,,,right,0.0,3.94869308919,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,55.0,151.0,,,,,0.0,15.0,15.0,86.0,,,,,,,,,,,,,,,,,,right,0.0,2.66642129049,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,125.0,4.0,,,,,0.0,16.0,16.0,63.0,,,,,,,,,,,,,,,,,,left,1.0,3.55062295869,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,55.0,90.0,,,,,0.0,17.0,17.0,81.0,,,,,,,,,,,,,,,,,,left,0.0,10.7985624936,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,54.0,5.0,,,,,0.0,18.0,18.0,32.0,,,,,,,,,,,,,,,,,,left,1.0,2.58353899885,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,75.0,10.0,,,,,0.0,19.0,19.0,67.0,,,,,,,,,,,,,,,,,,left,0.0,8.1993041737,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,149.0,89.0,,,,,0.0,20.0,20.0,24.0,,,,,,,,,,,,,,,,,,right,1.0,4.95081254281,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,150.0,89.0,,,,,0.0,21.0,21.0,84.0,,,,,,,,,,,,,,,,,,right,1.0,2.11685934337,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,125.0,59.0,,,,,0.0,22.0,22.0,78.0,,,,,,,,,,,,,,,,,,left,1.0,2.1341712107,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,55.0,11.0,,,,,0.0,23.0,23.0,66.0,,,,,,,,,,,,,,,,,,right,0.0,4.23265818926,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,40.0,91.0,,,,,0.0,24.0,24.0,21.0,,,,,,,,,,,,,,,,,,left,0.0,3.66574068042,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,56.0,9.0,,,,,0.0,25.0,25.0,37.0,,,,,,,,,,,,,,,,,,right,1.0,4.88299260847,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,75.0,90.0,,,,,0.0,26.0,26.0,82.0,,,,,,,,,,,,,,,,,,left,0.0,1.59988084203,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,56.0,29.0,,,,,0.0,27.0,27.0,42.0,,,,,,,,,,,,,,,,,,right,1.0,7.04873663001,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,56.0,89.0,,,,,0.0,28.0,28.0,52.0,,,,,,,,,,,,,,,,,,right,0.0,10.0481166784,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,15.0,11.0,,,,,0.0,29.0,29.0,35.0,,,,,,,,,,,,,,,,,,right,0.0,5.31665032823,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,35.0,30.0,,,,,0.0,30.0,30.0,70.0,,,,,,,,,,,,,,,,,,left,0.0,5.8164423923,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,151.0,4.0,,,,,0.0,31.0,31.0,34.0,,,,,,,,,,,,,,,,,,right,1.0,2.10052572517,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,55.0,151.0,,,,,0.0,32.0,32.0,57.0,,,,,,,,,,,,,,,,,,right,0.0,2.31634446513,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,35.0,89.0,,,,,0.0,33.0,33.0,51.0,,,,,,,,,,,,,,,,,,right,0.0,1.81709987018,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,55.0,60.0,,,,,0.0,34.0,34.0,76.0,,,,,,,,,,,,,,,,,,left,0.0,1.98335743416,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,150.0,4.0,,,,,0.0,35.0,35.0,64.0,,,,,,,,,,,,,,,,,,right,1.0,1.58408903843,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,35.0,31.0,,,,,0.0,36.0,36.0,41.0,,,,,,,,,,,,,,,,,,left,0.0,4.13333175704,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,60.0,60.0,,,,,0.0,37.0,37.0,17.0,,,,,,,,,,,,,,,,,,left,1.0,4.55028316798,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,19.0,11.0,,,,,0.0,38.0,38.0,5.0,,,,,,,,,,,,,,,,,,right,0.0,5.09863965353,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,25.0,0.0,125.0,89.0,,,,,0.0,39.0,39.0,83.0,,,,,,,,,,,,,,,,,,right,0.0,5.16583655169,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,10.0,0.0,111.0,10.0,,,,,0.0,40.0,40.0,8.0,,,,,,,,,,,,,,,,,,right,1.0,4.54949614825,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
,,,5.0,0.0,56.0,60.0,,,,,0.0,41.0,41.0,47.0,,,,,,,,,,,,,,,,,,left,1.0,3.24988266686,1,3.0.3,60.03478062873916,ninosDelConv2,2019_May_09_0757,114,
