ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,,,,,,,,,,,,,space,32.6933784336,,,,,,,,,,,,,,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,space,22.3960186294,,,,,,,,,,,,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,space,16.4306593807,,,,,,,,,,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,,,space,4.68273128709,,,,,,,,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,,,,,right,9.95933193155,,,,,,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.44995810417,,,,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
10.0,109.0,9.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,None,0.0,,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
10.0,19.0,89.0,,,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,left,1.0,4.26642848738,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
25.0,35.0,150.0,,,,,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,right,1.0,6.76588975545,,,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,260.101068724,,,,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10.0,0.0,20.0,5.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,left,0.0,6.19904796639,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,5.0,0.0,104.0,10.0,,,,,0.0,1.0,1.0,38.0,,,,,,,,,,,,,,,,,,right,1.0,7.83231155947,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10.0,0.0,40.0,91.0,,,,,0.0,2.0,2.0,21.0,,,,,,,,,,,,,,,,,,right,0.0,11.2652183971,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10.0,0.0,151.0,11.0,,,,,0.0,3.0,3.0,9.0,,,,,,,,,,,,,,,,,,left,0.0,7.68217816157,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,5.0,0.0,151.0,150.0,,,,,0.0,4.0,4.0,59.0,,,,,,,,,,,,,,,,,,left,1.0,3.65012208838,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,25.0,0.0,55.0,60.0,,,,,0.0,5.0,5.0,76.0,,,,,,,,,,,,,,,,,,right,1.0,10.1159409038,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10.0,0.0,149.0,61.0,,,,,0.0,6.0,6.0,19.0,,,,,,,,,,,,,,,,,,right,0.0,10.1817813097,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,5.0,0.0,150.0,30.0,,,,,0.0,7.0,7.0,44.0,,,,,,,,,,,,,,,,,,left,1.0,9.38117575087,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10.0,0.0,61.0,89.0,,,,,0.0,8.0,8.0,22.0,,,,,,,,,,,,,,,,,,right,1.0,8.13287959248,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10.0,0.0,39.0,6.0,,,,,0.0,9.0,9.0,1.0,,,,,,,,,,,,,,,,,,right,1.0,6.66565277521,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10.0,0.0,110.0,90.0,,,,,0.0,10.0,10.0,23.0,,,,,,,,,,,,,,,,,,right,1.0,6.58252566401,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,5.0,0.0,35.0,31.0,,,,,0.0,11.0,11.0,41.0,,,,,,,,,,,,,,,,,,left,0.0,4.19938518805,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,5.0,0.0,106.0,152.0,,,,,0.0,12.0,12.0,58.0,,,,,,,,,,,,,,,,,,right,1.0,7.41540731303,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,25.0,0.0,75.0,5.0,,,,,0.0,13.0,13.0,62.0,,,,,,,,,,,,,,,,,,left,1.0,11.014926156,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,10.0,0.0,111.0,10.0,,,,,0.0,14.0,14.0,8.0,,,,,,,,,,,,,,,,,,left,1.0,5.96645830246,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,25.0,0.0,75.0,31.0,,,,,0.0,15.0,15.0,72.0,,,,,,,,,,,,,,,,,,left,0.0,8.33211416192,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,25.0,0.0,150.0,9.0,,,,,0.0,16.0,16.0,69.0,,,,,,,,,,,,,,,,,,left,1.0,6.4317106274,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
,,,5.0,0.0,15.0,91.0,,,,,0.0,17.0,17.0,50.0,,,,,,,,,,,,,,,,,,right,0.0,6.81669862382,,,1,3.0.3,59.96769348903747,ninosDelConv2,2019_May_09_0753,77,
